id_transaksi,jenis_item,jumlah,tanggal pembelian,nama_customer,total
133889,Alat Tulis,1,1/1/2010,Stacy Campos,120000
133889,Buku Sejarah,1,1/1/2010,Stacy Campos,150000
133889,Buku Anak-Anak,2,1/1/2010,Stacy Campos,400000
133889,Majalah Fashion,1,1/1/2010,Stacy Campos,130000
133889,Majalah Berita,2,1/1/2010,Stacy Campos,600000
133889,Buku Fiksi,3,1/1/2010,Stacy Campos,1170000
133889,Novel Romansa,2,1/1/2010,Stacy Campos,600000
133890,Alat Tulis,1,3/3/2010,Natasha Sims,130000
133890,Majalah Seni,1,3/3/2010,Natasha Sims,50000
133890,Majalah Berita,2,5/1/2010,Natasha Sims,480000
133890,Buku Biografi,2,5/1/2010,Natasha Sims,100000
133890,Novel Romansa,2,5/1/2010,Natasha Sims,40000
133890,Aksesoris Buku,4,5/1/2010,Natasha Sims,960000
133891,Novel Fiksi Ilmiah,4,5/1/2010,Kimberly Park,400000
133891,Majalah Berita,2,5/1/2010,Kimberly Park,80000
133891,Novel Misteri,1,5/1/2010,Kimberly Park,130000
133891,Majalah Fashion,3,5/1/2010,Kimberly Park,60000
133892,Buku Anak-Anak,2,5/1/2010,Jonathan Edwards,100000
133892,Majalah Seni,1,5/1/2010,Jonathan Edwards,20000
133892,Novel Fiksi Ilmiah,2,5/1/2010,Jonathan Edwards,80000
133892,Buku Fiksi,5,5/1/2010,Jonathan Edwards,2750000
133892,Aksesoris Buku,7,6/27/2010,Jonathan Edwards,2450000
133893,Alat Tulis,2,6/27/2010,Tiffany Cline,400000
133893,Buku Sejarah,1,6/27/2010,Tiffany Cline,100000
133893,Buku Anak-Anak,1,6/27/2010,Tiffany Cline,130000
133893,Majalah Fashion,5,8/20/2010,Tiffany Cline,500000
133893,Majalah Seni,4,10/29/2010,Tiffany Cline,1920000
133893,Majalah Berita,6,10/29/2010,Tiffany Cline,3240000
133893,Novel Romansa,7,10/29/2010,Tiffany Cline,140000
133893,Aksesoris Buku,3,10/29/2010,Tiffany Cline,1350000
133894,Alat Tulis,7,10/29/2010,James Brown,1225000
133894,Majalah Fashion,6,10/29/2010,James Brown,900000
133894,Novel Fiksi Ilmiah,3,10/29/2010,James Brown,180000
133894,Buku Biografi,1,10/29/2010,James Brown,25000
133894,Novel Romansa,3,10/29/2010,James Brown,990000
133894,Aksesoris Buku,6,10/29/2010,James Brown,3600000
133895,Majalah Berita,3,10/29/2010,Karen Oconnell,810000
133895,Novel Fiksi Ilmiah,5,10/29/2010,Karen Oconnell,3000000
133895,Novel Misteri,1,10/29/2010,Karen Oconnell,50000
133895,Buku Biografi,5,10/29/2010,Karen Oconnell,100000
133895,Aksesoris Buku,4,10/29/2010,Karen Oconnell,960000
133896,Buku Sejarah,2,10/29/2010,Rebecca English,400000
133896,Alat Tulis,3,10/29/2010,Rebecca English,900000
133896,Majalah Fashion,2,10/29/2010,Rebecca English,100000
133896,Majalah Seni,3,10/29/2010,Rebecca English,180000
133896,Majalah Berita,4,10/29/2010,Rebecca English,1440000
133896,Buku Biografi,5,1/20/2011,Rebecca English,500000
133896,Aksesoris Buku,7,3/22/2011,Rebecca English,5390000
133897,Novel Romansa,8,3/22/2011,Tim Mcdowell,7680000
133897,Alat Tulis,1,5/17/2011,Tim Mcdowell,100000
133897,Majalah Berita,8,5/17/2011,Tim Mcdowell,9600000
133897,Novel Fiksi Ilmiah,1,5/17/2011,Tim Mcdowell,120000
133898,Majalah Seni,7,5/17/2011,Derek Mendez,7350000
133898,Novel Fiksi Ilmiah,4,5/17/2011,Derek Mendez,1920000
133898,Buku Biografi,4,5/17/2011,Derek Mendez,320000
133898,Novel Romansa,6,5/17/2011,Derek Mendez,3240000
133898,Aksesoris Buku,5,5/17/2011,Derek Mendez,1250000
133899,Buku Sejarah,9,5/17/2011,Tami Townsend MD,12150000
133899,Majalah Fashion,9,5/17/2011,Tami Townsend MD,8910000
133899,Majalah Seni,9,5/17/2011,Tami Townsend MD,7290000
133899,Majalah Berita,7,5/17/2011,Tami Townsend MD,2940000
133899,Novel Fiksi Ilmiah,6,5/17/2011,Tami Townsend MD,3960000
133899,Buku Fiksi,7,5/17/2011,Tami Townsend MD,2450000
133899,Novel Romansa,5,5/17/2011,Tami Townsend MD,3250000
133899,Aksesoris Buku,1,5/17/2011,Tami Townsend MD,20000
133900,Alat Tulis,5,7/27/2011,Dalton Carroll Jr.,1250000
133900,Buku Anak-Anak,8,8/28/2011,Dalton Carroll Jr.,1280000
133900,Majalah Fashion,2,8/28/2011,Dalton Carroll Jr.,240000
133900,Majalah Seni,4,8/28/2011,Dalton Carroll Jr.,320000
133900,Majalah Berita,9,8/28/2011,Dalton Carroll Jr.,10530000
133900,Buku Biografi,2,8/28/2011,Dalton Carroll Jr.,200000
133900,Novel Romansa,3,8/28/2011,Dalton Carroll Jr.,180000
133901,Novel Romansa,5,8/28/2011,Yvonne Riddle,2500000
133901,Buku Biografi,2,8/28/2011,Yvonne Riddle,520000
133901,Buku Anak-Anak,5,8/28/2011,Yvonne Riddle,3750000
133901,Majalah Fashion,4,8/28/2011,Yvonne Riddle,2400000
133902,Buku Sejarah,8,8/28/2011,Lisa Jenkins,1280000
133902,Alat Tulis,1,8/28/2011,Lisa Jenkins,20000
133902,Buku Anak-Anak,5,8/28/2011,Lisa Jenkins,3000000
133902,Majalah Fashion,2,8/28/2011,Lisa Jenkins,520000
